,weight,source,target
0,1,11yearsold,art
1,1,11yearsold,artist
2,1,11yearsold,artistsofinstagram
3,1,11yearsold,artistsoninstagram
4,1,11yearsold,artoftheday
5,1,11yearsold,cartoon
6,1,11yearsold,chameleon
7,1,11yearsold,colour
8,1,11yearsold,copic
9,1,11yearsold,creative
10,2,11yearsold,doodle
11,1,11yearsold,doodler
12,1,11yearsold,doodles
13,1,11yearsold,doodlesofinstagram
14,1,11yearsold,doodling
15,1,11yearsold,drawing
16,1,11yearsold,drawwithjazza
17,1,11yearsold,funny
18,1,11yearsold,illustration
19,1,11yearsold,illustratorsoninstagram
20,1,11yearsold,instaart
21,1,11yearsold,lineart
22,1,11yearsold,sharpie
23,1,11yearsold,shrimpy
24,1,11yearsold,shrimpydoodles
25,1,11yearsold,sweiperart
26,1,11yearsold,vexx
27,1,11yearsold,zhc
28,1,1312,aerosmith
29,1,1312,artistsoninstagram
30,1,1312,caricatures
31,1,1312,coloredpencil
32,1,1312,dailydrawing
33,1,1312,drawingoftheday
34,1,1312,face
35,1,1312,figurativeart
36,1,1312,ipaddrawing
37,1,1312,lifedrawing
38,1,1312,music
39,1,1312,painting
40,2,1312,pencildrawing
41,1,1312,pencilsketch
42,2,1312,portrait
43,1,1312,portraitdrawing
44,1,1312,procreate
45,1,1312,procreateart
46,1,1312,procreateartist
47,3,1312,sketch
48,1,1312,sketchbook
49,1,1312,sketches
50,1,1312,steventyler
51,1,1312,vancouver
52,1,1312,watercolor
53,1,1312,youtube
54,1,1398,artphotography
55,1,1398,asiangirls
56,1,1398,bnw
57,1,1398,brasil
58,1,1398,christmas
59,1,1398,fashion
60,1,1398,happy
61,1,1398,iraniangirl
62,1,1398,modeling
63,1,1398,persiancat
64,1,1398,portrait
65,1,1398,portraitphotography
66,1,1398,sassy
67,1,1398,snowportrait
68,1,1398,streetphotography
69,1,1398,tataloo
70,1,1398,tehran
71,1,1398,trump
72,1,1398,valentines
73,1,14,catcatstagram
74,1,14,catsofinstagram
75,1,1910sfashion,1920s1910s
76,1,1910sfashion,1920sfashion
77,1,1910sfashion,art
78,1,1910sfashion,artistsoninstagram
79,1,1910sfashion,artoftheday
80,1,1910sfashion,artwork
81,1,1910sfashion,artworks
