,weight,source,target
0,1,art,1910sfashion
1,1,art,1920s1910s
2,1,art,1920sfashion
3,1,art,1999
4,2,art,2020
5,1,art,2d
6,1,art,35mmphotography
7,1,art,50mm
8,2,art,50words
9,1,art,7enna
10,1,art,90s
11,1,art,90smovies
12,1,art,aandmdecoysandfolkart
13,2,art,abcreazioni
14,1,art,abstractart
15,1,art,abstractexpressionism
16,1,art,abstracto
17,1,art,abstractpainting
18,1,art,acapella
19,1,art,acnh
20,1,art,acrylicpaint
21,1,art,acrylicpainting
22,1,art,actor
23,2,art,amazing
24,1,art,americana
25,1,art,andratuttobene
26,1,art,animalcrossing
27,1,art,animals
28,3,art,anime
29,1,art,anthro
30,1,art,antihateranakmuda
31,1,art,applepencil
32,1,art,archilover
33,1,art,archilovers
34,1,art,architect
35,3,art,architecture
36,1,art,architecturelovers
37,2,art,architecturephotography
38,1,art,archive
39,1,art,arquitectura
40,1,art,arquitetura
41,1,art,arquiteturadeinteriores
42,1,art,arrengement
43,1,art,artathome
44,1,art,artcollections
45,1,art,artcollector
46,1,art,artcontemporain
47,1,art,artcteation
48,1,art,artcurator
49,6,art,arte
50,1,art,artecontemporanea
51,1,art,artexhibition
52,1,art,artfollowers
53,1,art,artgram
54,1,art,arthistory
55,1,art,artinspire
56,20,art,artist
57,1,art,artistlines
58,1,art,artistofinstagram
59,2,art,artists
60,1,art,artistsofinstagram
61,11,art,artistsoninstagram
62,1,art,artistsupportpledgetw
63,1,art,artlife
64,1,art,artlover
65,1,art,artlovers
66,1,art,artmuseum
67,8,art,artoftheday
68,1,art,artpainting
69,1,art,artphoto
70,1,art,artpractice
71,2,art,artsy
72,17,art,artwork
73,1,art,artworks
74,2,art,astronomy
75,2,art,astrophotography
76,1,art,atlantacandle
77,1,art,atmosphericpainting
78,1,art,aveeplayerpropixellab
79,1,art,bandedessinee
80,1,art,bazaart
81,1,art,bazaartedit
82,1,art,bd
83,1,art,beard
84,7,art,beautiful
85,6,art,beauty
86,1,art,bebekcizimi
87,1,art,bedroom
88,1,art,bergamo
89,2,art,bestoftheday
90,5,art,bhfyp
91,3,art,black
92,3,art,blackandwhite
93,1,art,blackandwhitephotography
94,1,art,blackartistspace
95,1,art,blackisbeautiful
96,1,art,blackwhite
97,1,art,bloomood
98,2,art,blue
99,1,art,bluebrown
100,2,art,bn
101,1,art,boho
102,2,art,books
103,1,art,booksaddict
104,1,art,bookstagram
105,1,art,bougie
106,1,art,bouquet
107,1,art,brescia
108,1,art,brewster
109,1,art,brianza
110,2,art,bridal
111,1,art,bridalhenna
112,1,art,bridalmendhi
113,1,art,bride
114,1,art,browngirlsunite
115,1,art,brushpens
116,1,art,bug
117,1,art,bugart
118,1,art,butterfly
119,1,art,butterflyart
120,1,art,callforart
121,1,art,calligrabasics
122,1,art,calligrafriends
123,2,art,calligrapher
124,1,art,calligraphy
125,1,art,calligraphycommunity
126,1,art,calm
127,1,art,camera
128,1,art,camplejeune
129,2,art,canada
130,1,art,canadianmuslims
131,1,art,candle
132,1,art,candleaddict
133,1,art,candlelight
134,1,art,candlelover
135,1,art,candlemaking
136,1,art,candles
137,1,art,candleshop
138,1,art,canidae
139,1,art,canine
140,1,art,canon
141,1,art,canvasback
142,1,art,canvasbackdecoys
143,1,art,capturestreets
144,1,art,caracter
145,1,art,casa
146,2,art,cat
147,1,art,catedral
148,1,art,catgirl
149,1,art,celestial
150,1,art,centralsaintmartins
151,1,art,ceramics
152,1,art,challenge
153,1,art,charliejoiner
154,1,art,cherryblossom
155,1,art,chesapeakebay
156,1,art,chestertownmd
157,1,art,chill
158,1,art,chillwave
159,1,art,chorus
160,1,art,chrisbrown
161,1,art,chrisbrownedits
162,1,art,city
163,1,art,classical
164,1,art,clay
165,1,art,codbakuhantam
166,1,art,coffee
167,1,art,coffeetime
168,3,art,color
169,1,art,colores
170,1,art,colorful
171,2,art,colorfull
172,1,art,colorpencil
173,1,art,colors
174,1,art,colorsketch
175,1,art,colour
176,1,art,combination
177,1,art,comics
178,1,art,commission
179,1,art,commissionsopen
180,1,art,community
181,1,art,como
182,3,art,contemporaryart
183,1,art,contemporarylandscapes
184,1,art,contemporarypainting
185,1,art,cooking
186,2,art,cool
187,2,art,corona
188,1,art,coronavirus
189,1,art,countryhumans
190,1,art,countryhumanscanada
191,1,art,countryhumansnada
192,1,art,covid
193,1,art,covid19
194,1,art,covid19italia
195,1,art,cozy
196,1,art,cozyvibes
197,1,art,craft
198,1,art,crafters
199,1,art,create
200,1,art,creation
201,4,art,creative
202,1,art,creativecommunity
203,1,art,creativeoptic
204,2,art,creativity
205,1,art,creatorsofcolor
206,1,art,cremona
207,1,art,csm
208,1,art,curiouscameraclub
209,1,art,customizacao
210,4,art,cute
211,3,art,daily
212,1,art,dailylook
213,1,art,dailypic
214,2,art,dailysketch
215,1,art,dailystreet
216,1,art,daliyarts
217,2,art,dance
218,2,art,dark
219,2,art,darkart
220,1,art,darkilustration
221,7,art,decor
222,1,art,decoracao
223,1,art,decoration
224,1,art,decoy
225,1,art,decoycollection
226,2,art,decoys
227,1,art,decoysforsale
228,1,art,desenho
229,10,art,design
230,1,art,designdeinteriores
231,1,art,designermaker
232,1,art,detail
233,1,art,developer
234,1,art,digital
235,7,art,digitalart
236,2,art,digitalcolors
237,1,art,digitalpainting
238,1,art,digitalportrait
239,4,art,disegno
240,1,art,disegnoamano
241,1,art,display
242,1,art,dj
243,1,art,dog
244,1,art,dogoftheday
245,1,art,dogs
246,1,art,dogsofinstagram
247,1,art,domestic
248,1,art,domesticactivity
249,1,art,domesticity
250,1,art,doodle
251,1,art,doodles
252,1,art,dope
253,1,art,downtown
254,1,art,dragon
255,1,art,dragonfly
256,12,art,draw
257,2,art,drawdaily
258,22,art,drawing
259,1,art,drawingoftheday
260,6,art,drawings
261,2,art,drawingsketch
262,1,art,drawthisinyourstyle
263,1,art,dress
264,1,art,dubaihenna
265,1,art,duck
266,1,art,duckdecoys
267,1,art,duckhunting
268,1,art,duckseason
269,1,art,dundas
270,1,art,dundee
271,1,art,durban
272,1,art,earth
273,1,art,easter
274,1,art,edit
275,1,art,edm
276,1,art,ednorton
277,1,art,edwardianera
278,1,art,edwardianfashion
279,1,art,edwardnorton
280,1,art,electronicmusic
281,1,art,elegant
282,1,art,elenamatsouka
283,1,art,embroidery
284,1,art,emotionalcolors
285,1,art,entomology
286,1,art,entomologyart
287,1,art,epic
288,1,art,esdla
289,1,art,evdekalresimyap
290,1,art,exhibition
291,1,art,experimentalmusic
292,1,art,exploration
293,1,art,explorepage
294,1,art,exploring
295,1,art,expresionism
296,1,art,expresionismo
297,1,art,expressionism
298,1,art,expressionismabstract
299,1,art,expressiveart
300,1,art,expressiveface
301,1,art,eyephotomagazine
302,1,art,f4f
303,2,art,fabercastell
304,1,art,fabric
305,1,art,fabricdrawing
306,1,art,faddcreatives
307,1,art,fairy
308,6,art,fanart
309,1,art,fanedits
310,2,art,fantasy
311,8,art,fashion
312,1,art,fashionart
313,2,art,fashionblogger
314,1,art,fashiondesigner
315,1,art,fashionista
316,1,art,fashionsketch
317,1,art,fashionsketches
318,1,art,fashionwork
319,1,art,feelingphotography
320,1,art,female
321,1,art,ficaemcasa
322,1,art,fightclub
323,1,art,figure
324,1,art,filmcapture
325,1,art,filmstyle
326,1,art,fineart
327,1,art,fineartpainting
328,1,art,fineartphoto
329,1,art,fineline
330,1,art,fireplace
331,1,art,fireplacedecor
332,1,art,fish
333,1,art,fit
334,3,art,fitness
335,1,art,fitnessmotivation
336,1,art,flamingo
337,1,art,flapper
338,1,art,flashbackfriday
339,1,art,flies
340,1,art,floral
341,1,art,florals
342,1,art,flores
343,1,art,florida
344,1,art,florist
345,2,art,flower
346,1,art,flowerartist
347,5,art,flowers
348,1,art,flowersofinstagram
349,1,art,flowerstagram
350,1,art,folkart
351,8,art,follow
352,2,art,follow4follow
353,1,art,follow4followback
354,1,art,followers
355,1,art,followforfollow
356,1,art,followforfollowback
357,2,art,followme
358,1,art,foodblogger
359,1,art,foodheaven
360,2,art,foodholic
361,1,art,foodie
362,1,art,form
363,2,art,fox
364,1,art,fragrance
365,1,art,frenchgirl
366,1,art,friday
367,1,art,fruit
368,1,art,fruits
369,1,art,fullmoon
370,3,art,fun
371,1,art,furry
372,1,art,furryart
373,1,art,fursona
374,1,art,fursonaart
375,1,art,gallery
376,1,art,gamedev
377,1,art,gandalf
378,1,art,garden
379,1,art,gardenflowers
380,1,art,gay
381,1,art,gift
382,4,art,girl
383,1,art,girls
384,1,art,goodtimes
385,1,art,goodvibes
386,1,art,goodvibesonly
387,1,art,gothic
388,1,art,governo
389,1,art,graffitilove
390,1,art,grandpiano
391,1,art,graphic
392,2,art,graphicdesign
393,1,art,graphicdesigner
394,1,art,greece
395,1,art,green
396,1,art,guitar
397,1,art,gym
398,1,art,hair
399,1,art,hamilton
400,1,art,hamiltonart
401,1,art,handlettering
402,4,art,handmade
403,3,art,happy
404,1,art,hard
405,2,art,hart
406,1,art,hastag
407,1,art,health
408,1,art,healthy
409,2,art,healthylifestyle
410,1,art,henna
411,1,art,hennaart
412,1,art,hennaartist
413,1,art,hennabyaaliakajee
414,1,art,hennacanvas
415,1,art,hennadesign
416,1,art,hennadesigns
417,1,art,hennalover
418,1,art,hennapainting
419,1,art,hennastain
420,1,art,hennatattoo
421,1,art,historiadelarte
422,1,art,hobbit
