,source,target
0,art,artist
1,art,fish
2,art,koifish
3,art,koifishpainting
4,art,digitalart
5,art,ipadpro
6,art,procreate
7,artist,fish
8,artist,koifish
9,artist,koifishpainting
10,artist,digitalart
11,artist,ipadpro
12,artist,procreate
13,fish,koifish
14,fish,koifishpainting
15,digitalart,fish
16,fish,ipadpro
17,fish,procreate
18,koifish,koifishpainting
19,digitalart,koifish
20,ipadpro,koifish
21,koifish,procreate
22,digitalart,koifishpainting
23,ipadpro,koifishpainting
24,koifishpainting,procreate
25,digitalart,ipadpro
26,digitalart,procreate
27,ipadpro,procreate
28,creation,design
29,ceramics,design
30,design,sale
31,design,plants
32,decor,design
33,commissionsopen,design
34,design,style
35,design,homedecor
36,design,hobby
37,clay,design
38,design,interiordesign
39,artistsoninstagram,design
40,design,photography
41,design,pottery
42,design,handmade
43,art,design
44,ceramics,creation
45,creation,sale
46,creation,plants
47,creation,decor
48,commissionsopen,creation
49,creation,style
50,creation,homedecor
51,creation,hobby
52,clay,creation
53,creation,interiordesign
54,artistsoninstagram,creation
55,creation,photography
56,creation,pottery
57,creation,handmade
58,art,creation
59,ceramics,sale
60,ceramics,plants
61,ceramics,decor
62,ceramics,commissionsopen
63,ceramics,style
64,ceramics,homedecor
65,ceramics,hobby
66,ceramics,clay
67,ceramics,interiordesign
68,artistsoninstagram,ceramics
69,ceramics,photography
70,ceramics,pottery
71,ceramics,handmade
72,art,ceramics
73,plants,sale
74,decor,sale
75,commissionsopen,sale
76,sale,style
77,homedecor,sale
78,hobby,sale
79,clay,sale
80,interiordesign,sale
81,artistsoninstagram,sale
82,photography,sale
83,pottery,sale
84,handmade,sale
85,art,sale
86,decor,plants
87,commissionsopen,plants
88,plants,style
89,homedecor,plants
90,hobby,plants
91,clay,plants
92,interiordesign,plants
93,artistsoninstagram,plants
94,photography,plants
95,plants,pottery
96,handmade,plants
97,art,plants
98,commissionsopen,decor
99,decor,style
100,decor,homedecor
101,decor,hobby
102,clay,decor
103,decor,interiordesign
104,artistsoninstagram,decor
105,decor,photography
106,decor,pottery
107,decor,handmade
108,art,decor
109,commissionsopen,style
110,commissionsopen,homedecor
111,commissionsopen,hobby
112,clay,commissionsopen
113,commissionsopen,interiordesign
114,artistsoninstagram,commissionsopen
115,commissionsopen,photography
116,commissionsopen,pottery
117,commissionsopen,handmade
118,art,commissionsopen
119,homedecor,style
120,hobby,style
121,clay,style
122,interiordesign,style
123,artistsoninstagram,style
124,photography,style
125,pottery,style
126,handmade,style
127,art,style
128,hobby,homedecor
129,clay,homedecor
130,homedecor,interiordesign
131,artistsoninstagram,homedecor
132,homedecor,photography
133,homedecor,pottery
134,handmade,homedecor
135,art,homedecor
136,clay,hobby
137,hobby,interiordesign
138,artistsoninstagram,hobby
139,hobby,photography
140,hobby,pottery
141,handmade,hobby
142,art,hobby
143,clay,interiordesign
144,artistsoninstagram,clay
145,clay,photography
146,clay,pottery
147,clay,handmade
148,art,clay
149,artistsoninstagram,interiordesign
150,interiordesign,photography
151,interiordesign,pottery
152,handmade,interiordesign
153,art,interiordesign
154,artistsoninstagram,photography
155,artistsoninstagram,pottery
156,artistsoninstagram,handmade
157,art,artistsoninstagram
158,photography,pottery
159,handmade,photography
160,art,photography
161,handmade,pottery
162,art,pottery
163,art,handmade
164,architecture,kumakengo
165,artmuseum,kumakengo
166,kumakengo,museum
167,kengokuma,kumakengo
168,design,kumakengo
169,art,kumakengo
170,artist,kumakengo
171,interior,kumakengo
172,interiordesign,kumakengo
173,graphicdesign,kumakengo
174,architecturephotography,kumakengo
175,architecture,artmuseum
176,architecture,museum
177,architecture,kengokuma
178,architecture,design
179,architecture,art
180,architecture,artist
181,architecture,interior
182,architecture,interiordesign
183,architecture,graphicdesign
184,architecture,architecturephotography
185,artmuseum,museum
186,artmuseum,kengokuma
187,artmuseum,design
188,art,artmuseum
189,artist,artmuseum
190,artmuseum,interior
191,artmuseum,interiordesign
192,artmuseum,graphicdesign
193,architecturephotography,artmuseum
194,kengokuma,museum
195,design,museum
196,art,museum
197,artist,museum
198,interior,museum
199,interiordesign,museum
200,graphicdesign,museum
201,architecturephotography,museum
202,design,kengokuma
203,art,kengokuma
204,artist,kengokuma
205,interior,kengokuma
206,interiordesign,kengokuma
207,graphicdesign,kengokuma
208,architecturephotography,kengokuma
209,art,design
210,artist,design
211,design,interior
212,design,interiordesign
213,design,graphicdesign
214,architecturephotography,design
